Day,Hour,Temp,PredictedKwh
12/7/2014,4,35.96,-47.7745308
12/7/2014,5,35.06,-50.27186045
12/7/2014,6,33.89,-53.51636163
12/7/2014,7,33.98,16.17764772
12/7/2014,8,33.98,16.17764772
12/7/2014,9,33.98,16.17764772
12/7/2014,10,33.98,16.17764772
12/7/2014,11,33.98,16.17764772
12/7/2014,12,33.98,16.17764772
12/7/2014,13,35.96,21.6699829
12/7/2014,14,37.04,24.66856852
12/7/2014,15,35.96,21.6699829
12/7/2014,16,32,10.69187602
12/7/2014,17,30.02,5.212667821
12/7/2014,18,28.04,-0.259976889
12/7/2014,19,26.06,-75.17057181
12/7/2014,20,24.08,-80.63008954
12/7/2014,21,23,-83.60524187
12/7/2014,22,21.92,-86.57844142
12/7/2014,23,21.02,-89.05461602
12/8/2014,0,19.67,-16.19760261
12/8/2014,1,19.94,-15.45550286
12/8/2014,2,19.04,-17.92869405
12/8/2014,3,19.04,-17.92869405
12/8/2014,4,19.04,-17.92869405
12/8/2014,5,17.96,-20.89473343
12/8/2014,6,19.04,-17.92869405
12/8/2014,7,19.04,51.51581965
12/8/2014,8,19.94,53.98901084
12/8/2014,9,21.02,56.95863031
12/8/2014,10,21.02,56.95863031
12/8/2014,11,21.92,59.4348049
12/8/2014,12,23,62.40800446
12/8/2014,13,24.08,65.38315679
12/8/2014,14,24.08,65.38315679
12/8/2014,15,24.89,67.61580255
12/8/2014,16,24.98,67.8639421
12/8/2014,17,26.06,70.84267452
12/8/2014,18,26.06,70.84267452
12/8/2014,19,26.33,2.143149043
12/8/2014,20,25.79,0.653294641
12/8/2014,21,24.89,-1.828711154
12/8/2014,22,25.43,-0.339670408
12/8/2014,23,27.635,5.745646007
12/9/2014,0,30.32,15.15787929
12/9/2014,1,32.66,21.63518762
12/9/2014,2,39.2,39.7870484
12/9/2014,3,42.08,47.80323841
12/9/2014,4,37.04,33.78401883
12/9/2014,5,37.4,34.78398132
12/9/2014,6,42.89,50.06029385
12/9/2014,7,42.98,119.7556593
12/9/2014,8,44.06,122.7669379
12/9/2014,9,44.96,125.2778285
12/9/2014,10,44.78,124.7755419
12/9/2014,11,44.96,125.2778285
12/9/2014,12,46.28,128.9629211
12/9/2014,13,46.94,130.8065613
12/9/2014,14,46.94,130.8065613
12/9/2014,15,46.58,129.8008489
12/9/2014,16,48.02,133.8250001
