"Day","Hour","Temp","kwh"
"12/6/2014",11,39.02,139.027939508776
"12/6/2014",12,39.02,139.027939508776
"12/6/2014",13,39.56,139.900617036478
"12/6/2014",14,39.92,140.48249179973
"12/6/2014",15,41,142.22851528632
"12/6/2014",16,41,142.22851528632
"12/6/2014",17,41,142.22851528632
"12/6/2014",18,39.02,139.027939508776
"12/6/2014",19,39.02,94.0917763403585
"12/6/2014",20,39.02,94.0917763403585
"12/6/2014",21,39.02,94.0917763403585
"12/6/2014",22,37.94,92.3495405587736
"12/6/2014",23,37.94,92.3495405587736
"12/7/2014",0,37.22,57.6550085704274
"12/7/2014",1,35.78,57.5635653588089
"12/7/2014",2,37.22,57.6550085704274
"12/7/2014",3,37.22,57.6550085704274
"12/7/2014",4,35.96,57.5701823026362
"12/7/2014",5,35.06,57.5487118213612
"12/7/2014",6,33.89,57.5566390629247
"12/7/2014",7,33.98,97.4363136673561
"12/7/2014",8,33.98,97.4363136673561
"12/7/2014",9,33.98,97.4363136673561
"12/7/2014",10,33.98,97.4363136673561
"12/7/2014",11,33.98,97.4363136673561
"12/7/2014",12,33.98,97.4363136673561
"12/7/2014",13,35.96,97.729424710064
"12/7/2014",14,37.04,97.9898580776866
"12/7/2014",15,35.96,97.729424710064
"12/7/2014",16,32,97.3361051459372
"12/7/2014",17,30.02,97.3595850522104
"12/7/2014",18,28.04,97.4253230943688
"12/7/2014",19,26.06,57.4076192059283
"12/7/2014",20,24.08,56.9674194821935
"12/7/2014",21,23,56.6166329713771
"12/7/2014",22,21.92,56.1823260139247
"12/7/2014",23,21.02,55.7549861293339
"12/8/2014",0,19.67,67.6379740708892
"12/8/2014",1,19.94,67.7780508424842
"12/8/2014",2,19.04,67.2906409968685
"12/8/2014",3,19.04,67.2906409968685
"12/8/2014",4,19.04,67.2906409968685
"12/8/2014",5,17.96,66.6283276026678
"12/8/2014",6,19.04,67.2906409968685
"12/8/2014",7,19.04,106.559302930328
"12/8/2014",8,19.94,106.791360707729
"12/8/2014",9,21.02,107.003718267802
"12/8/2014",10,21.02,107.003718267802
"12/8/2014",11,21.92,107.130080279963
"12/8/2014",12,23,107.228496803456
"12/8/2014",13,24.08,107.278694048723
"12/8/2014",14,24.08,107.278694048723
"12/8/2014",15,24.89,107.291771635496
"12/8/2014",16,24.98,107.292192930013
"12/8/2014",17,26.06,107.285563211072
"12/8/2014",18,26.06,107.285563211072
"12/8/2014",19,26.33,69.6961703086016
"12/8/2014",20,25.79,69.622091438982
"12/8/2014",21,24.89,69.4695181396828
"12/8/2014",22,25.43,69.5656690045631
"12/8/2014",23,27.635,69.8308540491594
"12/9/2014",0,30.32,64.4569889749916
"12/9/2014",1,32.66,65.4187656420923
"12/9/2014",2,39.2,70.2020959258932
"12/9/2014",3,42.08,73.1726196401405
"12/9/2014",4,37.04,68.2967113725889
"12/9/2014",5,37.4,68.5933261674154
"12/9/2014",6,42.89,74.0859898284035
"12/9/2014",7,42.98,117.861829563555
"12/9/2014",8,44.06,119.264664138998
"12/9/2014",9,44.96,120.462341053702
"12/9/2014",10,44.78,120.220836995744
"12/9/2014",11,44.96,120.462341053702
"12/9/2014",12,46.28,122.261403127335
"12/9/2014",13,46.94,123.17818960654
"12/9/2014",14,46.94,123.17818960654
