"Day","Hour","Temp","kwh"
"12/6/2014",8,41,95.2555685137027
"12/6/2014",9,39.14,95.2555685137027
"12/6/2014",10,37.94,95.2555685137027
"12/6/2014",11,39.02,95.2555685137027
"12/6/2014",12,39.02,95.2555685137027
"12/6/2014",13,39.56,56.3471136776725
"12/6/2014",14,39.92,56.3471136776725
"12/6/2014",15,41,56.3471136776725
"12/6/2014",16,41,56.3471136776725
"12/6/2014",17,41,56.3471136776725
"12/6/2014",18,39.02,56.3471136776725
"12/6/2014",19,39.02,50.6871367371064
"12/6/2014",20,39.02,50.6871367371064
"12/6/2014",21,39.02,50.6871367371064
"12/6/2014",22,37.94,50.6871367371064
"12/6/2014",23,37.94,50.6871367371064
"12/7/2014",0,37.22,50.6871367371064
"12/7/2014",1,35.78,50.6871367371064
"12/7/2014",2,37.22,50.6871367371064
"12/7/2014",3,37.22,50.6871367371064
"12/7/2014",4,35.96,50.6871367371064
"12/7/2014",5,35.06,50.6871367371064
"12/7/2014",6,33.89,50.6871367371064
"12/7/2014",7,33.98,95.2555685137027
"12/7/2014",8,33.98,95.2555685137027
"12/7/2014",9,33.98,95.2555685137027
"12/7/2014",10,33.98,95.2555685137027
"12/7/2014",11,33.98,95.2555685137027
"12/7/2014",12,33.98,95.2555685137027
"12/7/2014",13,35.96,56.3471136776725
"12/7/2014",14,37.04,56.3471136776725
"12/7/2014",15,35.96,56.3471136776725
"12/7/2014",16,32,56.3471136776725
"12/7/2014",17,30.02,56.3471136776725
"12/7/2014",18,28.04,56.3471136776725
"12/7/2014",19,26.06,50.6871367371064
"12/7/2014",20,24.08,50.6871367371064
"12/7/2014",21,23,50.6871367371064
"12/7/2014",22,21.92,50.6871367371064
"12/7/2014",23,21.02,50.6871367371064
"12/8/2014",0,19.67,50.6871367371064
"12/8/2014",1,19.94,50.6871367371064
"12/8/2014",2,19.04,50.6871367371064
"12/8/2014",3,19.04,50.6871367371064
"12/8/2014",4,19.04,50.6871367371064
"12/8/2014",5,17.96,50.6871367371064
"12/8/2014",6,19.04,50.6871367371064
"12/8/2014",7,19.04,95.2555685137027
"12/8/2014",8,19.94,95.2555685137027
"12/8/2014",9,21.02,95.2555685137027
"12/8/2014",10,21.02,95.2555685137027
"12/8/2014",11,21.92,95.2555685137027
"12/8/2014",12,23,95.2555685137027
"12/8/2014",13,24.08,56.3471136776725
"12/8/2014",14,24.08,56.3471136776725
"12/8/2014",15,24.89,56.3471136776725
"12/8/2014",16,24.98,56.3471136776725
"12/8/2014",17,26.06,56.3471136776725
"12/8/2014",18,26.06,56.3471136776725
"12/8/2014",19,26.33,50.6871367371064
"12/8/2014",20,25.79,50.6871367371064
"12/8/2014",21,24.89,50.6871367371064
"12/8/2014",22,25.43,50.6871367371064
"12/8/2014",23,27.635,50.6871367371064
"12/9/2014",0,30.32,50.6871367371064
"12/9/2014",1,32.66,50.6871367371064
"12/9/2014",2,39.2,50.6871367371064
"12/9/2014",3,42.08,50.6871367371064
"12/9/2014",4,37.04,50.6871367371064
"12/9/2014",5,37.4,50.6871367371064
"12/9/2014",6,42.89,50.6871367371064
"12/9/2014",7,42.98,95.2555685137027
"12/9/2014",8,44.06,95.2555685137027
"12/9/2014",9,44.96,95.2555685137027
"12/9/2014",10,44.78,95.2555685137027
"12/9/2014",11,44.96,95.2555685137027
"12/9/2014",12,46.28,95.2555685137027
"12/9/2014",13,46.94,56.3471136776725
"12/9/2014",14,46.94,56.3471136776725
"12/9/2014",15,46.58,56.3471136776725
"12/9/2014",16,48.02,56.3471136776725
"12/9/2014",17,48.14,131.330243534597
"12/9/2014",18,48.44,131.330243534597
"12/9/2014",19,48.92,78.9336569780762
"12/9/2014",20,48.56,78.9336569780762
"12/9/2014",21,48.92,78.9336569780762
"12/9/2014",22,48.92,78.9336569780762
"12/9/2014",23,48.92,78.9336569780762
"12/10/2014",0,46.04,50.6871367371064
"12/10/2014",1,44.96,50.6871367371064
"12/10/2014",2,42.98,50.6871367371064
"12/10/2014",3,42.08,50.6871367371064
"12/10/2014",4,42.08,50.6871367371064
"12/10/2014",5,42.2,50.6871367371064
"12/10/2014",6,41,50.6871367371064
"12/10/2014",7,41.9,95.2555685137027
"12/10/2014",8,41,95.2555685137027
"12/10/2014",9,41,95.2555685137027
"12/10/2014",10,41.36,95.2555685137027
"12/10/2014",11,42.56,95.2555685137027
"12/10/2014",12,42.44,95.2555685137027
"12/10/2014",13,42.56,56.3471136776725
"12/10/2014",14,41,56.3471136776725
"12/10/2014",15,39.92,56.3471136776725
"12/10/2014",16,39.92,56.3471136776725
"12/10/2014",17,39.11,56.3471136776725
"12/10/2014",18,39.11,56.3471136776725
"12/10/2014",19,39.02,50.6871367371064
"12/10/2014",20,39.14,50.6871367371064
"12/10/2014",21,37.94,50.6871367371064
"12/10/2014",22,39.02,50.6871367371064
"12/10/2014",23,39.02,50.6871367371064
"12/11/2014",0,39.14,50.6871367371064
"12/11/2014",1,39.155,50.6871367371064
"12/11/2014",2,37.94,50.6871367371064
"12/11/2014",3,37.94,50.6871367371064
"12/11/2014",4,37.04,50.6871367371064
"12/11/2014",5,35.96,50.6871367371064
"12/11/2014",6,35.06,50.6871367371064
"12/11/2014",7,35.33,95.2555685137027
"12/11/2014",8,35.33,95.2555685137027
"12/11/2014",9,34.43,95.2555685137027
"12/11/2014",10,33.98,95.2555685137027
"12/11/2014",11,33.89,95.2555685137027
"12/11/2014",12,33.656,95.2555685137027
"12/11/2014",13,33.86,56.3471136776725
"12/11/2014",14,33.86,56.3471136776725
"12/11/2014",15,33.98,56.3471136776725
"12/11/2014",16,33.89,56.3471136776725
"12/11/2014",17,33.98,56.3471136776725
"12/11/2014",18,33.08,56.3471136776725
"12/11/2014",19,33.08,50.6871367371064
"12/11/2014",20,32,50.6871367371064
"12/11/2014",21,32,50.6871367371064
"12/11/2014",22,32,50.6871367371064
"12/11/2014",23,32,50.6871367371064
"12/12/2014",0,32,50.6871367371064
"12/12/2014",1,30.92,50.6871367371064
"12/12/2014",2,30.92,50.6871367371064
"12/12/2014",3,30.92,50.6871367371064
"12/12/2014",4,30.92,50.6871367371064
"12/12/2014",5,32,50.6871367371064
"12/12/2014",6,32,50.6871367371064
"12/12/2014",7,32,95.2555685137027
"12/12/2014",8,33.98,95.2555685137027
"12/12/2014",9,35.06,95.2555685137027
"12/12/2014",10,36.32,95.2555685137027
"12/12/2014",11,35.96,95.2555685137027
"12/12/2014",12,37.04,95.2555685137027
"12/12/2014",13,37.67,56.3471136776725
"12/12/2014",14,37.94,56.3471136776725
"12/12/2014",15,37.94,56.3471136776725
"12/12/2014",16,37.04,56.3471136776725
"12/12/2014",17,35.96,56.3471136776725
"12/12/2014",18,36.68,56.3471136776725
"12/12/2014",19,35.33,50.6871367371064
"12/12/2014",20,33.98,50.6871367371064
"12/12/2014",21,33.98,50.6871367371064
"12/12/2014",22,33.98,50.6871367371064
"12/12/2014",23,33.08,50.6871367371064
"12/13/2014",0,33.08,50.6871367371064
"12/13/2014",1,33.08,50.6871367371064
"12/13/2014",2,33.08,50.6871367371064
"12/13/2014",3,32,50.6871367371064
"12/13/2014",4,32,50.6871367371064
"12/13/2014",5,32,50.6871367371064
"12/13/2014",6,32,50.6871367371064
"12/13/2014",7,33.08,95.2555685137027
"12/13/2014",8,33.8,95.2555685137027
"12/13/2014",9,35.06,95.2555685137027
"12/13/2014",10,35.96,95.2555685137027
"12/13/2014",11,37.94,95.2555685137027
"12/13/2014",12,39.92,95.2555685137027
"12/13/2014",13,41,56.3471136776725
"12/13/2014",14,41,56.3471136776725
"12/13/2014",15,39.92,56.3471136776725
"12/13/2014",16,39.02,56.3471136776725
"12/13/2014",17,39.02,56.3471136776725
"12/13/2014",18,37.94,56.3471136776725
"12/13/2014",19,37.04,50.6871367371064
"12/13/2014",20,35.96,50.6871367371064
"12/13/2014",21,33.98,50.6871367371064
"12/13/2014",22,33.98,50.6871367371064
"12/13/2014",23,33.08,50.6871367371064
"12/14/2014",0,33.98,50.6871367371064
"12/14/2014",1,33.98,50.6871367371064
"12/14/2014",2,33.98,50.6871367371064
"12/14/2014",3,33.98,50.6871367371064
"12/14/2014",4,33.08,50.6871367371064
"12/14/2014",5,33.98,50.6871367371064
"12/14/2014",6,33.98,50.6871367371064
"12/14/2014",7,33.98,95.2555685137027
"12/14/2014",8,35.42,95.2555685137027
"12/14/2014",9,37.04,95.2555685137027
"12/14/2014",10,39.02,95.2555685137027
"12/14/2014",11,41,95.2555685137027
"12/14/2014",12,42.98,95.2555685137027
"12/14/2014",13,44.06,56.3471136776725
"12/14/2014",14,44.06,56.3471136776725
"12/14/2014",15,42.98,56.3471136776725
"12/14/2014",16,41,56.3471136776725
"12/14/2014",17,39.92,56.3471136776725
"12/14/2014",18,37.94,56.3471136776725
"12/14/2014",19,37.04,50.6871367371064
"12/14/2014",20,35.06,50.6871367371064
"12/14/2014",21,35.06,50.6871367371064
"12/14/2014",22,33.98,50.6871367371064
"12/14/2014",23,33.98,50.6871367371064
"12/15/2014",0,33.98,50.6871367371064
"12/15/2014",1,33.08,50.6871367371064
"12/15/2014",2,33.08,50.6871367371064
"12/15/2014",3,33.08,50.6871367371064
"12/15/2014",4,33.08,50.6871367371064
"12/15/2014",5,33.08,50.6871367371064
"12/15/2014",6,32,50.6871367371064
"12/15/2014",7,33.98,95.2555685137027
"12/15/2014",8,35.06,95.2555685137027
"12/15/2014",9,37.04,95.2555685137027
"12/15/2014",10,39.02,95.2555685137027
"12/15/2014",11,41,95.2555685137027
"12/15/2014",12,39.92,95.2555685137027
"12/15/2014",13,39.92,56.3471136776725
"12/15/2014",14,39.02,56.3471136776725
"12/15/2014",15,37.94,56.3471136776725
"12/15/2014",16,37.04,56.3471136776725
"12/15/2014",17,39.02,56.3471136776725
"12/15/2014",18,37.04,56.3471136776725
"12/15/2014",19,37.94,50.6871367371064
"12/15/2014",20,35.96,50.6871367371064
