"date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","temp"
2014-12-05,"12","5","2014",21,5,1,0,41
2014-12-05,"12","5","2014",22,5,1,0,39.92
2014-12-05,"12","5","2014",23,5,1,0,39.56
2014-12-06,"12","6","2014",0,6,0,0,39.74
2014-12-06,"12","6","2014",1,6,0,0,40.1
2014-12-06,"12","6","2014",2,6,0,0,42.08
2014-12-06,"12","6","2014",3,6,0,0,42.86
2014-12-06,"12","6","2014",4,6,0,0,44.42
2014-12-06,"12","6","2014",5,6,0,0,44.78
2014-12-06,"12","6","2014",6,6,0,0,44.78
2014-12-06,"12","6","2014",7,6,0,1,44.72
2014-12-06,"12","6","2014",8,6,0,1,41
2014-12-06,"12","6","2014",9,6,0,1,39.14
2014-12-06,"12","6","2014",10,6,0,1,37.94
2014-12-06,"12","6","2014",11,6,0,1,39.02
2014-12-06,"12","6","2014",12,6,0,1,39.02
2014-12-06,"12","6","2014",13,6,0,1,39.56
2014-12-06,"12","6","2014",14,6,0,1,39.92
2014-12-06,"12","6","2014",15,6,0,1,41
2014-12-06,"12","6","2014",16,6,0,1,41
2014-12-06,"12","6","2014",17,6,0,1,41
2014-12-06,"12","6","2014",18,6,0,1,39.02
2014-12-06,"12","6","2014",19,6,0,0,39.02
2014-12-06,"12","6","2014",20,6,0,0,39.02
2014-12-06,"12","6","2014",21,6,0,0,39.02
2014-12-06,"12","6","2014",22,6,0,0,37.94
2014-12-06,"12","6","2014",23,6,0,0,37.94
2014-12-07,"12","7","2014",0,0,0,0,37.22
2014-12-07,"12","7","2014",1,0,0,0,35.78
2014-12-07,"12","7","2014",2,0,0,0,37.22
2014-12-07,"12","7","2014",3,0,0,0,37.22
2014-12-07,"12","7","2014",4,0,0,0,35.96
2014-12-07,"12","7","2014",5,0,0,0,35.06
2014-12-07,"12","7","2014",6,0,0,0,33.89
2014-12-07,"12","7","2014",7,0,0,1,33.98
2014-12-07,"12","7","2014",8,0,0,1,33.98
2014-12-07,"12","7","2014",9,0,0,1,33.98
2014-12-07,"12","7","2014",10,0,0,1,33.98
2014-12-07,"12","7","2014",11,0,0,1,33.98
2014-12-07,"12","7","2014",12,0,0,1,33.98
2014-12-07,"12","7","2014",13,0,0,1,35.96
2014-12-07,"12","7","2014",14,0,0,1,37.04
2014-12-07,"12","7","2014",15,0,0,1,35.96
2014-12-07,"12","7","2014",16,0,0,1,32
2014-12-07,"12","7","2014",17,0,0,1,30.02
2014-12-07,"12","7","2014",18,0,0,1,28.04
2014-12-07,"12","7","2014",19,0,0,0,26.06
2014-12-07,"12","7","2014",20,0,0,0,24.08
2014-12-07,"12","7","2014",21,0,0,0,23
2014-12-07,"12","7","2014",22,0,0,0,21.92
2014-12-07,"12","7","2014",23,0,0,0,21.02
2014-12-08,"12","8","2014",0,1,1,0,19.67
2014-12-08,"12","8","2014",1,1,1,0,19.94
2014-12-08,"12","8","2014",2,1,1,0,19.04
2014-12-08,"12","8","2014",3,1,1,0,19.04
2014-12-08,"12","8","2014",4,1,1,0,19.04
2014-12-08,"12","8","2014",5,1,1,0,17.96
2014-12-08,"12","8","2014",6,1,1,0,19.04
2014-12-08,"12","8","2014",7,1,1,1,19.04
2014-12-08,"12","8","2014",8,1,1,1,19.94
2014-12-08,"12","8","2014",9,1,1,1,21.02
2014-12-08,"12","8","2014",10,1,1,1,21.02
2014-12-08,"12","8","2014",11,1,1,1,21.92
2014-12-08,"12","8","2014",12,1,1,1,23
2014-12-08,"12","8","2014",13,1,1,1,24.08
2014-12-08,"12","8","2014",14,1,1,1,24.08
2014-12-08,"12","8","2014",15,1,1,1,24.89
2014-12-08,"12","8","2014",16,1,1,1,24.98
2014-12-08,"12","8","2014",17,1,1,1,26.06
2014-12-08,"12","8","2014",18,1,1,1,26.06
2014-12-08,"12","8","2014",19,1,1,0,26.33
2014-12-08,"12","8","2014",20,1,1,0,25.79
2014-12-08,"12","8","2014",21,1,1,0,24.89
2014-12-08,"12","8","2014",22,1,1,0,25.43
2014-12-08,"12","8","2014",23,1,1,0,27.635
2014-12-09,"12","9","2014",0,2,1,0,30.32
2014-12-09,"12","9","2014",1,2,1,0,32.66
2014-12-09,"12","9","2014",2,2,1,0,39.2
2014-12-09,"12","9","2014",3,2,1,0,42.08
2014-12-09,"12","9","2014",4,2,1,0,37.04
2014-12-09,"12","9","2014",5,2,1,0,37.4
2014-12-09,"12","9","2014",6,2,1,0,42.89
2014-12-09,"12","9","2014",7,2,1,1,42.98
2014-12-09,"12","9","2014",8,2,1,1,44.06
2014-12-09,"12","9","2014",9,2,1,1,44.96
2014-12-09,"12","9","2014",10,2,1,1,44.78
2014-12-09,"12","9","2014",11,2,1,1,44.96
2014-12-09,"12","9","2014",12,2,1,1,46.28
2014-12-09,"12","9","2014",13,2,1,1,46.94
2014-12-09,"12","9","2014",14,2,1,1,46.94
2014-12-09,"12","9","2014",15,2,1,1,46.58
2014-12-09,"12","9","2014",16,2,1,1,48.02
2014-12-09,"12","9","2014",17,2,1,1,48.14
