"Day","Hour","Temp","kwh"
"06/19/2016",16,68,87.4556011579178
"06/19/2016",17,68,87.4556011579178
"06/19/2016",18,66,87.4556011579178
"06/19/2016",19,65,78.9336569780762
"06/19/2016",20,62,78.9336569780762
"06/19/2016",21,62,78.9336569780762
"06/19/2016",22,62,78.9336569780762
"06/19/2016",23,62,78.9336569780762
"06/20/2016",0,62,78.9336569780762
"06/20/2016",1,62,78.9336569780762
"06/20/2016",2,62,78.9336569780762
"06/20/2016",3,61,78.9336569780762
"06/20/2016",4,61,78.9336569780762
"06/20/2016",5,61,78.9336569780762
"06/20/2016",6,61,78.9336569780762
"06/20/2016",7,63,87.4556011579178
"06/20/2016",8,67,87.4556011579178
"06/20/2016",9,70,87.4556011579178
"06/20/2016",10,73,87.4556011579178
"06/20/2016",11,74,87.4556011579178
"06/20/2016",12,76,87.4556011579178
"06/20/2016",13,76,87.4556011579178
"06/20/2016",14,77,87.4556011579178
"06/20/2016",15,77,87.4556011579178
"06/20/2016",16,76,87.4556011579178
"06/20/2016",17,75,87.4556011579178
"06/20/2016",18,75,87.4556011579178
"06/20/2016",19,74,78.9336569780762
"06/20/2016",20,73,78.9336569780762
"06/20/2016",21,71,78.9336569780762
"06/20/2016",22,71,78.9336569780762
"06/20/2016",23,70,78.9336569780762
"06/21/2016",0,69,78.9336569780762
"06/21/2016",1,68,78.9336569780762
"06/21/2016",2,68,78.9336569780762
"06/21/2016",3,66,78.9336569780762
"06/21/2016",4,66,78.9336569780762
"06/21/2016",5,66,78.9336569780762
"06/21/2016",6,67,78.9336569780762
"06/21/2016",7,69,203.056592884821
"06/21/2016",8,72,203.056592884821
"06/21/2016",9,74,203.056592884821
"06/21/2016",10,77,203.056592884821
"06/21/2016",11,80,203.056592884821
"06/21/2016",12,82,203.056592884821
"06/21/2016",13,83,159.725588322227
"06/21/2016",14,83,159.725588322227
"06/21/2016",15,83,159.725588322227
"06/21/2016",16,81,159.725588322227
"06/21/2016",17,80,159.725588322227
"06/21/2016",18,79,159.725588322227
"06/21/2016",19,78,78.9336569780762
"06/21/2016",20,76,78.9336569780762
"06/21/2016",21,75,78.9336569780762
"06/21/2016",22,73,78.9336569780762
"06/21/2016",23,71,78.9336569780762
"06/22/2016",0,71,78.9336569780762
"06/22/2016",1,69,78.9336569780762
"06/22/2016",2,68,78.9336569780762
"06/22/2016",3,67,78.9336569780762
"06/22/2016",4,67,78.9336569780762
"06/22/2016",5,67,78.9336569780762
"06/22/2016",6,67,78.9336569780762
"06/22/2016",7,69,203.056592884821
"06/22/2016",8,72,203.056592884821
"06/22/2016",9,74,203.056592884821
"06/22/2016",10,76,203.056592884821
"06/22/2016",11,78,203.056592884821
"06/22/2016",12,79,203.056592884821
"06/22/2016",13,80,159.725588322227
"06/22/2016",14,81,159.725588322227
"06/22/2016",15,80,159.725588322227
"06/22/2016",16,79,159.725588322227
"06/22/2016",17,78,159.725588322227
"06/22/2016",18,76,159.725588322227
"06/22/2016",19,75,78.9336569780762
"06/22/2016",20,74,78.9336569780762
"06/22/2016",21,72,78.9336569780762
"06/22/2016",22,70,78.9336569780762
"06/22/2016",23,69,78.9336569780762
